Number,Subject,TimeQuest,Question,Answer,TimeTemp
1,Lesson_31,54.55,In English how do you say слово,Word,61.81
2,Lesson_31,61.81,"How do you say ""то слово""",That word,73.76
3,Lesson_31,77.46,"Try to ask ""что означает то слово""",What does that word mean?,90.16
4,Lesson_31,90.16,"Спросите, как у неё дела?",How are you?,112.02
5,Lesson_31,112.02,"She answer ""Отлично, спасибо, как у вас?","Fine, thanks and you?",123.66
6,Lesson_31,129.04,"Say ""не плохо""",Not bad.,137.1
7,Lesson_31,142.97,"How do she ask ""как долго?""?",How long?,150.7
8,Lesson_31,154.05,Как долго вы здесь находитесь?,How long have you been here?,164.72
9,Lesson_31,170.79,"Answer ""мы здесь"".",We’ve been here.,179.67
10,Lesson_31,179.67,Со вчерашнего дня.,since yesterday.,187.74
11,Lesson_31,193.42,Мы приехали,we arrived,202.22
12,Lesson_31,206.11,Вчера утром.,Yesterday morning.,215
13,Lesson_31,225.22,Когда вы приехали?,When did you arrive?,233.03
14,Lesson_31,237.32,"Answer ""Мы приехали вчера утром"".",We arrived yesterday morning.,250.7
15,Lesson_31,250.7,"Say ""Мы находимся здесь""",We’ve been here,261.86
16,Lesson_31,261.86,Один день. Используйте число.,For one day.,272.68
17,Lesson_31,277.41,Мы здесь со вчерашнего дня.,We’ve been here since yesterday.,291.15
18,Lesson_31,291.15,Нравится ли вам Нью Йорк?,Do you like New York?,303
19,Lesson_31,307.7,"Кратко ответьте, что да.","Yes, I do.",317.6
20,Lesson_31,322.68,"She ask ""Сколько времени вы собираетесь здесь пробыть""",How long are you going to stay?,337.11
21,Lesson_31,342.83,Одну неделю.,For one week.,351.13
22,Lesson_31,354.9,Чем вы занимались вчера?,What did you do yesterday?,364.7
23,Lesson_31,370.23,"Answer ""Я купил"" ",I bought ,379.22
24,Lesson_31,382.8,много вещей,a lot of things,391.15
25,Lesson_31,395.69,Я купил американскую газету.,I bought an American newspaper.,408.2
26,Lesson_31,408.2,Кое-что выпить,Something to drink,418.04
27,Lesson_31,418.04,И немного вина для моей жены,And some wine for my wife.,430.45
28,Lesson_31,430.45,Я купил немного вина для неё,I bought some wine for her.,443.72
29,Lesson_31,447.94,А вы?,And you?,454.41
30,Lesson_31,454.41,Вы купили что-нибудь?,Did you buy anything?,467.72
31,Lesson_31,472.21,"Скажите, что вы ничего не купили.",I didn’t buy anything.,482.58
32,Lesson_31,495.69,"Say ""я ничего не купил"".",I didn’t buy anything.,505.88
33,Lesson_31,511.9,"А сейчас попробуйте сказать: ""Мне ничего не хотелось""",I didn’t want anything.,522.47
34,Lesson_31,526.36,Нам ничего не хотелось.,We didn’t want anything.,537.54
35,Lesson_31,541.38,И мы ничего не купили.,And we didn’t buy anything.,551.46
36,Lesson_31,556.58,"Say ""Мы купили много вещей"".",We bought a lot of things.,569.55
37,Lesson_31,575.56,Мы приехали вчера утром.,We arrived yesterday morning.,589.68
38,Lesson_31,589.68,И купили много вещей.,And we bought a lot of things.,602.14
39,Lesson_31,602.14,Мы ничего не купили.,We didn’t buy anything.,614.257
40,Lesson_31,619.35,"Помните как сказать ""доброе утро"".",Good morning.,628.97
41,Lesson_31,629.24,"Now try to say ""хороший ресторан""",A good restaurant,639.28
42,Lesson_31,647.83,"А так будет ""мы обедали""",We ate,654.72
43,Lesson_31,668,"Скажите ещё раз ""мы обедали"".",We ate.,675.71
44,Lesson_31,675.71,"Try to say ""Мы обедали в одном хорошем ресторане"".",We ate at a good restaurant.,690.15
45,Lesson_31,696.54,"Try to ask ""Вы обедали в хорошем ресторане?""",Did you eat at a good restaurant?,715.05
46,Lesson_31,716.38,"Краткий утвердительный ответ на вопрос ""Вы обедали в хорошем ресторане?"".","Yes, we did.",731.44
47,Lesson_31,734.88,"Краткий отрицательный ответ на вопрос ""Вы обедали в хорошем ресторане?"".","No, we didn’t.",746.22
48,Lesson_31,750.04,"Now say: ""Мы обедали в одном хорошем ресторане"".",We ate at a good restaurant.,764.1
49,Lesson_31,764.1,Вчера утром.,Yesterday morning.,773.25
50,Lesson_31,776.81,"Now try to ask: ""Вы говорили по английски?""",Did you speak English?,788.36
51,Lesson_31,793.29,"Try to say: ""Нет, мы не говорили по английски"".","No, we didn’t speak English.",806.77
52,Lesson_31,811.69,Мы обедали.,We ate,818.98
53,Lesson_31,818.98,В одном хорошем ресторане.,at a good restaurant.,828.93
54,Lesson_31,833.81,Но мы не говорили по английски.,But we didn’t speak English.,846.15
55,Lesson_31,872.86,"Скажите, что вы собираетесь кое-что купить.",I’m going to buy something.,883.36
56,Lesson_31,888.32,"Say: ""Кое-что для моего мужа"".",Something for my husband.,898.1
57,Lesson_31,898.1,Я собираюсь кое-что купить для него.,I’m going to buy something for him.,909.79
58,Lesson_31,917.21,Моя дочь.,My daughter.,922.84
59,Lesson_31,928.39,"Say: ""Моя дочь"".",My daughter.,934.87
60,Lesson_31,934.87,Кое-что для моей дочери.,something for my daughter.,944.92
61,Lesson_31,995.29,"Ask again ""Большая или маленькая""?",The big one or the little one?,1007.59
62,Lesson_31,1007.59,Моя дочь Мария.,My daughter Maria.,1017.1
63,Lesson_31,1021.19,Старшая.,The older one.,1027.92
64,Lesson_31,1052.89,Скажите старшая.,The older one.,1060.09
65,Lesson_31,1066.2,Я купила кое-что для младшей.,I bought something for the little one.,1077.72
66,Lesson_31,1083.14,Вчера утром.,Yesterday morning.,1090.94
67,Lesson_31,1090.94,Я купила кое-что для неё вчера утром.,I bought something for her yesterday morning.,1106.67
68,Lesson_31,1106.67,"Спросите по-английски, ваша старшая дочь говорит по-английски?",Does your older daughter speak English?,1130.29
69,Lesson_31,1136.04,"Да, она говорит по-английски очень хорошо.","Yes, she speaks English very well.",1152.62
70,Lesson_31,1152.62,Ваш муж тоже говорит по-английски?,Does your husband speak English too.,1166.83
71,Lesson_31,1207.91,"Скажите: ""Ваш муж говорит по-английски"".",Your husband speaks English.,1220.32
72,Lesson_31,1220.32,"Now ask: ""Ваш муж говорит по-английски?""",Does your husband speak English?,1233.46
73,Lesson_31,1233.46,"Now try to ask: ""Ваш муж говорит по-английски, не так-ли?","Your husband speaks English, doesn’t he?",1251.95
74,Lesson_31,1264.08,"Answer: ""нет, он не говорит по-английски"".","No, he doesn’t speak English.",1278.07
75,Lesson_31,1283.26,Вчера утром,Yesterday morning,1292.64
76,Lesson_31,1292.64,мы ели в одном хорошем ресторане,we ate at a good restaurant,1303.25
