Number,Subject,TimeQuest,Question,Answer,TimeTemp
0,Lesson_27,51.7,Tell me in English «доброе утро».,Good morning.,59.4
1,Lesson_27,59.4,Ask me how I am.,How are you?,66.38
2,Lesson_27,66.38,Answer that you are fine.,I’m fine.,74.55
3,Lesson_27,74.55,Ask me if the stores are open.,Are the stores open?,83.71
4,Lesson_27,88.52,Answer that they are closed.,They are closed.,96.68
5,Lesson_27,96.68,Ask why.,Why?,102.3
6,Lesson_27,102.3,Answer «потому что уже поздно».,Because it’s late.,112.1
7,Lesson_27,115.54,Ask me if I’m going to work.,Are you going to work?,125.25
8,Lesson_27,128.9,Say that you don’t think so.,I don’t think so.,136.88
9,Lesson_27,140.85,Say «вы думаете».,You think.,149.65
10,Lesson_27,153.02,Say «вы так не думаете».,You don’t think so.,163.08
11,Lesson_27,167.15,Say that you are going to New York.,I’m going to New York.,178.49
12,Lesson_27,188.37,Ask «вы едите в Нью‐Йорк?»,Are you going to New York?,198.44
13,Lesson_27,203.5,Say «может быть».,Maybe,211.12
14,Lesson_27,229.84,Say that you are going to Boston.,I’m going to Boston.,240.36
15,Lesson_27,240.36,А как сказать «я так думаю».,I think so.,249.8
16,Lesson_27,253.45,"Say «я думаю, что я еду в Бостон».",I think I’m going to Boston.,265.6
17,Lesson_27,277.01,Ask what he is going to do there.,What are you going to do there?,286.71
18,Lesson_27,286.71,Say that you are going to see a few friends.,I’m going to see a few friends.,300.86
19,Lesson_27,300.86,Say that you have a few friends there.,I have a few friends there.,313.74
20,Lesson_27,313.74,Say that you are going to see your friends.,I’m going to see my friends.,326.53
21,Lesson_27,331.9,И я собираюсь работать.,And I’m going to work.,342.42
22,Lesson_27,342.42,Может быть.,Maybe.,348.95
23,Lesson_27,348.95,"And how does one say «я думаю, что я собираюсь работать».",I think I’m going to work.,361.92
24,Lesson_27,368.19,"Помните, как сказать по‐английски число 80?",Eighty,377.54
25,Lesson_27,379.92,85,Eighty five,387.36
26,Lesson_27,391.28,Now try to say 90,Ninety,398.89
27,Lesson_27,401.6,95,Ninety five,408.58
28,Lesson_27,412.18,92,Ninety two,419.53
29,Lesson_27,422.96,99,Ninety nine,430.49
30,Lesson_27,434.06,Now say 89,Eighty nine,442.58
31,Lesson_27,442.58,"Спросите, сколько вы мне должны.",How much do I owe you?,452.2
32,Lesson_27,452.2,Answer «90 долларов».,Ninety dollars,461.45
33,Lesson_27,461.45,«Вот сто долларов». Listen and repeat.,Here’s one hundred dollars.,470.06
34,Lesson_27,485.01,Say «100 долларов».,One hundred dollars.,494.63
35,Lesson_27,494.63,Say «150 долларов».,One hundred fifty dollars.,506.96
36,Lesson_27,513.14,Now say 180,One hundred eighty.,523.3
37,Lesson_27,523.3,190,One hundred ninety,532.1
38,Lesson_27,532.1,"Say «это слишком много», имея ввиду конкретную сумму.",That’s too much.,543.44
39,Lesson_27,547.41,170,One hundred seventy,555.84
40,Lesson_27,555.84,165,One hundred sixty five,566.91
41,Lesson_27,566.91,147,One hundred forty seven,577.43
42,Lesson_27,577.43,Спросите сколько вы мне должны.,How much do I owe you?,589.31
43,Lesson_27,589.31,«Вы ничего мне не должны». Listen and repeat.,You don’t owe me anything.,599.29
44,Lesson_27,615,Say again «Вы ничего мне не должны».,You don’t owe me anything.,627.34
45,Lesson_27,627.34,Say «100 долларов».,One hundred dollars,637.68
46,Lesson_27,637.68,Say «90 долларов».,Ninety dollars,647.02
47,Lesson_27,647.02,Say «вы ничего мне не должны».,You don’t owe me anything.,657.72
48,Lesson_27,657.72,Почему?,Why?,663.53
49,Lesson_27,663.53,Потому что ,Because,669.88
50,Lesson_27,669.88,Вы ничего мне не должны.,You don’t owe me anything.,679.58
51,Lesson_27,683.37,Ask me what I want.,What do you want?,690.45
52,Lesson_27,690.45,Try to say «я ничего не хочу».,I don’t want anything.,701.78
53,Lesson_27,706.86,Now try to say «у меня ничего нет».,I don’t have anything.,718.92
54,Lesson_27,724.42,Что у вас есть?,What do you have?,732.86
55,Lesson_27,732.86,У меня ничего нет.,I don’t have anything.,743.11
56,Lesson_27,743.11,И я ничего не хочу.,And I don’t want anything.,754.27
57,Lesson_27,754.27,«Я хочу уехать». Listen and repeat.,I want to leave.,762.79
58,Lesson_27,769.69,Say that you want to leave.,I want to leave.,779.12
