Number,Subject,Answer,Question,TimeQuest,TimeTemp,Cours,Length,Date,Path,NumberBD
1,Lesson_33,When did you arrive?,"Как она спросит, когда вы приехали?",7,9,Pimsler English,971,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-001.mp3,126
2,Lesson_33,We arrived last night.,Мы приехали прошлой ночью,9,12,Pimsler English,1100,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-002.mp3,127
3,Lesson_33,But our son,Say «но наш сын».,12,0,Pimsler English,979,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-003.mp3,128
4,Lesson_33,Our younger son,Наш младший сын,15,0,Pimsler English,890,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-004.mp3,129
5,Lesson_33,Arrived this morning,приехал этим утром.,18,0,Pimsler English,1064,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-005.mp3,130
6,Lesson_33,He arrived this morning,Он приехал этим утром,21,23,Pimsler English,939,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-006.mp3,131
7,Lesson_33,Alone.,один.,23,25,Pimsler English,528,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-007.mp3,132
8,Lesson_33,We arrived last night.,Мы приехали вчера ночью.,25,28,Pimsler English,1088,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-008.mp3,133
9,Lesson_33,How many children do you have?,Сколько у вас детей?,28,30,Pimsler English,1140,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-009.mp3,134
10,Lesson_33,We have three children.,У нас три ребенка.,30,32,Pimsler English,983,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-010.mp3,135
11,Lesson_33,We have two boys,Say «У нас два мальчика»,32,34,Pimsler English,1039,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-011.mp3,136
12,Lesson_33,and one girl,и одна девочка. Используйте число.,34,35,Pimsler English,1060,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-012.mp3,137
13,Lesson_33,"Excuse mу, please.","Как она скажет «Извините меня, пожалуйста». ",35,37,Pimsler English,1446,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-013.mp3,138
14,Lesson_33,I’m going to buy a few things.,Я пойду куплю кое-какие вещи,37,39,Pimsler English,1132,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-014.mp3,139
15,Lesson_33,And I can’t stay.,и не могу остаться.,39,41,Pimsler English,935,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-015.mp3,140
16,Lesson_33,Good-bye.,Она уходит. Как вы с ней попрощаетесь?,41,0,Pimsler English,983,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-016.mp3,141
17,Lesson_33,See you later.,Say «увидимся».,50,52,Pimsler English,866,2023-10-17 17:38:00,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-017.mp3,142
18,Lesson_33,See you tonight.,А как вы ей скажете «увидимся вечером».,52,0,Pimsler English,1023,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-018.mp3,143
19,Lesson_33,What did you do today?,Сейчас Мэри вас спрашивает «что вы делали сегодня?»,55,57,Pimsler English,1140,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-019.mp3,144
20,Lesson_33,This morning,Say «этим утром»,57,59,Pimsler English,943,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-020.mp3,145
21,Lesson_33,We went to Long Island,мы ходили на Лонг-Айленд,59,0,Pimsler English,1035,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-021.mp3,146
22,Lesson_33,With some American friends.,с американскими друзьями.,62,64,Pimsler English,1184,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-022.mp3,147
23,Lesson_33,We ate at a good restaurant.,Мы ели в одном хорошем ресторане.,64,66,Pimsler English,1305,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-023.mp3,148
24,Lesson_33,Did you speak English with your friends?,Вы говорили по-английски со своими друзьями?,66,68,Pimsler English,1374,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-024.mp3,149
25,Lesson_33,"Yes, we did.","Ответьте кратко, что да (мы говорили)",68,0,Pimsler English,963,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-025.mp3,150
26,Lesson_33,We spoke English.,Мы говорили по-английски,71,0,Pimsler English,963,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-026.mp3,151
27,Lesson_33,We spoke English.,Say «мы говорили по-английски»,77,79,Pimsler English,1084,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-027.mp3,152
28,Lesson_33,We spoke English with our friends.,Мы говорили по-английски с нашими друзьями,79,0,Pimsler English,1378,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-028.mp3,153
29,Lesson_33,Waiter,Официант,82,0,Pimsler English,588,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-029.mp3,154
30,Lesson_33,The waiter,Say «официант»,85,87,Pimsler English,830,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-030.mp3,155
31,Lesson_33,We spoke English with our friends,Мы говорили по-английски с нашими друзьями,87,89,Pimsler English,1329,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-031.mp3,156
32,Lesson_33,And with the waiter.,и с официантом.,89,0,Pimsler English,902,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-032.mp3,157
33,Lesson_33,See you tomorrow.,Скажите ей «увидимся завтра».,91,94,Pimsler English,790,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-033.mp3,158
34,Lesson_33,Yesterday we went to Washington D.S.,Скажите ей «вчера мы ездили в Вашингтон округ Колумбия». Указание времени используйте в начале предложения.,94,96,Pimsler English,1974,2023-10-17 17:38:01,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-034.mp3,159
35,Lesson_33,I want to go to Washington.,She says «я хочу поехать в Вашингтон».,96,0,Pimsler English,1547,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-035.mp3,160
36,Lesson_33,I’d like to go there too.,Try to say «мне бы тоже хотелось туда поехать».,99,101,Pimsler English,1233,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-036.mp3,161
37,Lesson_33,We went to Washington.,Say «мы ездили в Вашингтон»,101,103,Pimsler English,1172,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-037.mp3,162
38,Lesson_33,with our older son,с нашим старшим сыном,103,105,Pimsler English,1092,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-038.mp3,163
39,Lesson_33,And with our daughter,и с нашей дочерью.,105,107,Pimsler English,951,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-039.mp3,164
40,Lesson_33,We bought a few things,Мы купили несколько вещей,107,109,Pimsler English,1056,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-040.mp3,165
41,Lesson_33,And we ate at a good restaurant.,и ели в одном хорошем ресторане.,109,111,Pimsler English,1325,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-041.mp3,166
42,Lesson_33,We spoke English.,Say «мы говорили по-английски»,111,114,Pimsler English,1176,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-042.mp3,167
43,Lesson_33,With the waiter,с официантом.,114,0,Pimsler English,790,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-043.mp3,168
44,Lesson_33,"Your son speaks English, doesn’t he?","Ваш сын говорит по-английски, не так ли?",116,118,Pimsler English,1297,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-044.mp3,169
45,Lesson_33,"Yes, he does.","Кратко ответьте в утвердительной форме, он говорит.",118,120,Pimsler English,1100,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-045.mp3,170
46,Lesson_33,But our daughter is too little.,Now try to say «но наша дочь слишком маленькая».,120,122,Pimsler English,1458,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-046.mp3,171
47,Lesson_33, We like Washington.,Say «нам нравится Вашингтон».,122,124,Pimsler English,1156,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-047.mp3,172
48,Lesson_33,We like Washington very much.,Нам очень нравится Вашингтон.,124,126,Pimsler English,1317,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-048.mp3,173
49,Lesson_33,We bought a lot of things.,Мы купили много вещей.,126,128,Pimsler English,1265,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-049.mp3,174
50,Lesson_33,How many things?,She asks «сколько вещей?»,128,0,Pimsler English,1068,2023-10-17 17:38:02,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-050.mp3,175
51,Lesson_33,Too many things.,Попробуйте сказать «слишком много вещей».,131,0,Pimsler English,947,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-051.mp3,176
52,Lesson_33,We bought too many things.,Say «мы купили слишком много вещей».,137,139,Pimsler English,1378,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-052.mp3,177
53,Lesson_33,What did you see there?,She asks «Что вы там видели?»,139,0,Pimsler English,1100,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-053.mp3,178
54,Lesson_33,Did you see the White House?,Try to ask «Вы видели Белый дом?»,147,149,Pimsler English,1136,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-054.mp3,179
55,Lesson_33,"Yes, we did.",Кратко ответьте «Да».(мы видели),149,0,Pimsler English,1043,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-055.mp3,180
56,Lesson_33,We saw the White House.	,Try to say «мы видели Белый дом».,157,0,Pimsler English,1176,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-056.mp3,181
57,Lesson_33,And we ate at an expensive restaurant.,и поели в одном дорогом ресторане.,160,0,Pimsler English,1491,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-057.mp3,182
58,Lesson_33,We spoke English with the waiter.,Мы говорили по-английски с официантом.,163,165,Pimsler English,1321,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-058.mp3,183
59,Lesson_33,But we didn’t see a lot of things,"Но мы не увидели многих вещей,",165,0,Pimsler English,1394,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-059.mp3,184
60,Lesson_33,because,потому что,168,170,Pimsler English,882,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-060.mp3,185
61,Lesson_33,We didn’t have much time.,Try to say «у нас не было много времени».,170,172,Pimsler English,1333,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-061.mp3,186
62,Lesson_33,What did you see in Washington?,She asks «что вы видели в Вашингтоне?»,172,174,Pimsler English,1382,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-062.mp3,187
63,Lesson_33,We saw the White House.,Answer «мы видели Белый дом».,174,176,Pimsler English,1168,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-063.mp3,188
64,Lesson_33,and we saw some American friends,и увиделись с некоторыми американскими друзьями,176,178,Pimsler English,1458,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-064.mp3,189
65,Lesson_33,We spoke English with our friends.,Мы говорили по-английски с нашими друзьями,178,180,Pimsler English,1479,2023-10-17 17:38:03,E:\English\PimsleurNew\Second\mp3\Pimsleur_33-065.mp3,190
